source_search,timestamp_local,chat_id,chat_name,message_id,direction,text_or_media,media_size,media_path,interpretation
p006_exact_item_or_amount,2026-04-18 15:17:08,823,Sales Olshop Santi Mebel,92210,THEM,grand 90 : 684 grand 100 : 782,0,,"P006 purchase/order/delivery context, not payment proof"
p006_exact_item_or_amount,2026-04-18 15:25:45,823,Sales Olshop Santi Mebel,92222,ME,Mau springback 3 pak,0,,"P006 purchase/order/delivery context, not payment proof"
p006_exact_item_or_amount,2026-04-18 16:50:46,823,Sales Olshop Santi Mebel,92266,ME,Springback 3 item,0,,"P006 purchase/order/delivery context, not payment proof"
p006_exact_item_or_amount,2026-04-18 16:54:21,823,Sales Olshop Santi Mebel,92286,THEM,Total 1.616,0,,"P006 purchase/order/delivery context, not payment proof"
p006_adjacent_payment_context,2026-04-19 06:02:57,823,Sales Olshop Santi Mebel,92474,ME,Tf ke norek mana yo pakk,0,,"P006 payment context after Total 1.616"
p006_adjacent_payment_context,2026-04-19 07:58:44,823,Sales Olshop Santi Mebel,92508,ME,Sudah tak bayar ya,62079,Media/130382607479005@lid/7/8/78c7b070-6481-4c9f-a2ca-f1c1a6e9f7b9.jpg,"P006 payment proof: Jago transfer Rp1.616.000, note kasur 2 bantal 3, transfer ID 260419SYATIDJ100005822"
p006_exact_item_or_amount,2026-04-18 16:54:55,1126,🌳INTERNAL Santi Living🌳,92287,ME,Total 1.616,0,,"P006 purchase/order/delivery context, not payment proof"
p006_exact_item_or_amount,2026-04-18 16:56:12,1126,🌳INTERNAL Santi Living🌳,92289,ME,grand 90 : 684 grand 100 : 782,0,,"P006 purchase/order/delivery context, not payment proof"
p006_exact_item_or_amount,2026-04-23 08:23:59,823,Sales Olshop Santi Mebel,96240,THEM,grand 90 biru 1 unit grand 100 biru 1 unit,0,,"P006 purchase/order/delivery context, not payment proof"
kiriman_bukti_transfer_doni,2026-05-08 13:11:53,888,Kiriman bukti transfer,112171,THEM,https://my.jurnal.id/v3/sales/1801451586 https://my.jurnal.id/v3/sales/1805442734 Nama: Doni Barang: Bantal Springback 8 Jumlah: 400.000 Bank: BCA,0,,"BG007 payment, not P006"
kiriman_bukti_transfer_doni,2026-05-14 16:23:59,888,Kiriman bukti transfer,122036,THEM,https://my.jurnal.id/v3/sales/1813890394 nama: doni barang: grand exclusive 100 jumlah 793.000 bank: BCA,0,,"P007 payment, not P006"
